10019,"EMPLOYEE IS ELECTROCUTED, FALLS FROM A LADDER, AND IS KILLED","RIB,ELECTRICAL,FRACTURE,LADDER,FALL",Other
10069,EMPLOYEE FALLS THROUGH HOLE IN ROOF AND IS KILLED,"SLIP,FALL PROTECTION,ROOF,FALL",Safety Devices Removed/Inoperable
10121,EMPLOYEE IS ASPHYXIATED INSIDE MANHOLE AND IS KILLED,"ASPHYXIATED,CONFINED SPACE,HYDROGEN SULFIDE,METHANE,MANHOLE",Insufficient /Lack/Respiratory Protection
10124,EMPLOYEE DIES FROM NATURAL CAUSES AFTER FALL AT WORK,0,Other
10137,EMPLOYEE AMPUTATES FINGERS WHILE CLEANING MACHINERY,"CAUGHT IN,AMPUTATED,FAN BLADE,AMPUTATION,LOCKOUT,CLEANING,ROTATING PARTS","Misjudgment, Hazardous Situation"
10149,EMPLOYEE DIES IN SLIP AND FALL,"SLIPPERY SURFACE,FALL,HEAD",Other
10192,EMPLOYEE WORKING IN FIELD DIES FROM HEAT STROKE,"AGRICULTURE,HEAT STROKE,HEAT",Other
10257,EMPLOYEE IS KILLED IN FALL,"SLIP,FALL,HOUSEKEEPING,STRUCK AGAINST",Position Inappropriate For Task
10259,EMPLOYEE DROWNS OPERATING A MOWER,"CAUGHT IN,ROLL-OVER,STRUCK BY,WATER,CAVE-IN,LAWN MOWER,DROWN,CRUSHING",Other
10277,EMPLOYEE SUSTAINS PARTIAL AMPUTATION TO HIS FINGERTIP,"ROLLER--MACH/PART,FINGER,AMPUTATION,POWERED INDUSTRIAL VEHICLE,CAUGHT BETWEEN","Misjudgment, Hazardous Situation"
10280,WORKER DIES OF HEART ATTACK,"HEART ATTACK,LACQUER",Other
10284,EMPLOYEE'S FINGER IS AMPUTATED WHEN CAUGHT IN ROLLUP DOOR SP,"CAUGHT BY,FINGER,AMPUTATION","Misjudgment, Hazardous Situation"
10294,EMPLOYEE DROWNS AFTER FALLING FROM BOAT INTO WATER,"DROWNING,MOTOR VEHICLE,HEART,HEART ATTACK",Safety Devices Removed/Inoperable
10321,EMPLOYEE IS STRUCK BY METAL PART AND FRACTURES ARM,"SUSPENDED LOAD,ARM,FALLING OBJECT,MATERIAL HANDLING,OVERHEAD CRANE,RIGGING,FRACTURE,CRANE,STRUCK BY",Other
10365,EMPLOYEE FALLS FROM AN UNGUARDED STAIRWELL AND IS INJURED,"RIB,STAIR,UNGUARDED,BACKING UP,FRACTURE,FALL,VERTEBRA,SHOULDER","Misjudgment, Hazardous Situation"
10390,EMPLOYEE KILLED BY ENGULFMENT,"CAUGHT IN,ASPHYXIATED","Misjudgment, Hazardous Situation"
10430,EMPLOYEE FRACTURES SEVERAL FINGERS WHILE CLEARING SNOWBLOWER,"CAUGHT IN,CLOGGED,AUGER,FINGER,FRACTURE",Other
10455,EMPLOYEE WORKING ON SPLIT RIM WHEEL IS KILLED WHEN TIRE FLIE,"STRUCK BY,TIRE,TIRE RIM,TIRE BEAD,WHEEL,MULTIPIECE RIM WHEEL,FLYING OBJECT,AUTOMOTIVE REPAIR,BLOWOUT--TIRE",Position Inappropriate For Task
10484,EMPLOYEE IS KILLED WHEN STRUCK BY LIGHTNING,"STRUCK BY,ROOFER,LIGHTNING",Insufficient /Lack/Written Work Practice Program
10516,EMPLOYEE IS STRUCK BY FORKLIFT AND IS HOSPITALIZED,"STRUCK BY,POWERED INDUSTRIAL VEHICLE","Misjudgment, Hazardous Situation"
10527,WORKER IS CRUSHED AND KILLED BY FALLING STEEL COIL.,"CRUSHING,ABDOMEN,FRACTURE,FALLING OBJECT,CHEST,STRUCK BY,MATERIAL HANDLING,LEG",Insufficient /Lack/Engineering Controls
10532,EMPLOYEE'S ANKLE IS CRUSHED BETWEEN FORKLIFT AND DOCK PLATE,"CAUGHT IN,POWERED INDUSTRIAL VEHICLE,MATERIAL HANDLING,CRUSHING,ANKLE",Position Inappropriate For Task
10535,EMPLOYEE SUFFERS MULTIPLE FRACTURES WHILE FIXING A FORKLIFT,"RIB,COLLARBONE,MATERIAL HANDLING,MAINTENANCE,NECK,INDUSTRIAL TRUCK,FRACTURE,ARM,STRUCK BY,SHOULDER",Equipment Inappropriate For Operation
10538,EMPLOYEE STRUCK BY PUMP JACK INCURS MULTIPLE FRACTURES,"PELVIS,FALL PROTECTION,OIL WELL DRILLING/SERVICING,INSTALLING,LADDER,FRACTURE,FACE,PISTON,FALL,STRUCK BY",Safety Devices Removed/Inoperable
10539,EMPLOYEE FALLS FROM CONVEYOR AND IS KILLED,"CONVEYOR,FALL,ELEVATED WORK PLATFORM",Safety Devices Removed/Inoperable
10557,EMPLOYEE IS KILLED IN FALL FROM COMMUNICATION TOWER,"COMMUNICATION TOWER,FALL","Misjudgment, Hazardous Situation"
10613,EMPLOYEE INJURES BACK IN FALL AND IS HOSPITALIZED,"SLIP,FALL,SPINE",Distracting Actions By Others
10628,EMPLOYEE'S FINGERS ARE AMPUTATED DURING TROUBLESHOOTING,"STRUCK BY,AMPUTATION,FINGER,MAINTENANCE,JAMMED","Misjudgment, Hazardous Situation"
10727,WORKER IS STRUCK AND KILLED BY FORKLIFT,"STRUCK BY,POWERED INDUSTRIAL VEHICLE,NECK,RUN OVER,HEAD",Other
10790,EMPLOYEE STRUCK BY A MOTOR VEHICLE STRUCK AND IS KILLED,"CRUSHING,STRUCK BY,MOTOR VEHICLE,RUN OVER",Other
10791,EMPLOYEE IS RUN OVER BY GARBAGE TRUCK AND IS KILLED,"CRUSHING,RUN OVER,MOTOR VEHICLE,STRUCK BY,TIRE,GARBAGE TRUCK","Misjudgment, Hazardous Situation"
10799,EMPLOYEE INJURES HAND DURING TROUBLESHOOTING OF BLOW MOLDING,"STRUCK BY,MACHINE GUARDING,HAND,LOCKOUT/TAGOUT,CRUSHED,AMPUTATION",Mater-Handling Procedure Inappropriate
10815,EMPLOYEE'S HAND IS LACERATED BY AUGER WHILE CLEANING MACHINE,"AUGER,AGRICULTURE,AGRICULTURE MACHINERY/VEHICLE,LACERATION,HAND","Misjudgment, Hazardous Situation"
10816,EMPLOYEE FALLS FROM LADDER JACK IS KILLED,"STRUCK AGAINST,LADDER,LADDER JACK SCAFFOLD,NECK,SCAFFOLD,ROOF,RESIDENTIAL CONSTRUCTION,HEAD,FALL",Other
10836,EMPLOYEE IS KILLED WHEN STRUCK BY A FORKLIFT,"STRUCK BY,CRUSHED,HEAD,INDUSTRIAL TRUCK,ROLL-OVER",Other
10849,EMPLOYEE AMPUTATES THUMB WHILE CUTTING MEAT WITH BAND SAW,"SLIP,AMPUTATION,BANDSAW,AMPUTATED,THUMB","Misjudgment, Hazardous Situation"
10870,EMPLOYEE IS KILLED WHEN STRUCK-BY A TRAILER,"STRUCK BY,DOCK,RUN OVER",Insufficient /Lack/Engineering Controls
10891,EMPLOYEE FALLS FROM ROOF AND IS KILLED,"FALL,ROOF,HEAD",Other
10898,EMPLOYEE IS STRUCK BY A SPRING OF A STRUT ASSEMBLY AND IS IN,"STRUCK BY,FRACTURE,LACERATION,FACE",Other
10914,EMPLOYEE'S FINGER IS STRUCK AND PARTIALLY AMPUTATED BY FALLI,"CRUSHING,FALLING OBJECT,AMPUTATION,POWERED INDUSTRIAL VEHICLE,STORAGE RACK",Other
10917,ONE EMPLOYEE IS KILLED ANOTHER INJURED WHEN STRUCK BY A POWE,"STRUCK BY,RUN OVER,POWERED INDUSTRIAL VEHICLE,CRUSHED,CONSTRUCTION",Other
