iter	Passed	Remaining
0	177	177087
1	204	102130
2	218	72563
3	224	55882
4	230	45907
5	236	39192
6	242	34389
7	248	30873
8	254	28043
9	260	25785
10	266	24001
11	272	22423
12	277	21075
13	284	20003
14	289	19007
15	294	18130
16	300	17398
17	306	16701
18	311	16089
19	318	15589
20	323	15103
21	330	14679
22	335	14261
23	340	13866
24	347	13548
25	352	13213
26	358	12906
27	364	12646
28	369	12376
29	374	12124
30	381	11914
31	386	11693
32	391	11484
33	397	11306
34	403	11134
35	410	11002
36	418	10901
37	426	10805
38	433	10684
39	440	10569
40	447	10463
41	453	10354
42	460	10251
43	467	10154
44	474	10064
45	481	9982
46	488	9913
47	496	9842
48	502	9752
49	509	9671
50	515	9585
51	521	9501
52	528	9440
53	534	9365
54	540	9289
55	547	9226
56	553	9160
57	561	9125
58	568	9074
59	576	9033
60	584	8997
61	592	8961
62	599	8921
63	607	8879
64	614	8832
65	620	8780
66	629	8771
67	637	8740
68	646	8721
69	652	8669
70	660	8638
71	667	8598
72	674	8560
73	680	8520
74	687	8475
75	695	8457
76	702	8420
77	711	8411
78	717	8370
79	725	8345
80	731	8304
81	739	8275
82	745	8237
83	752	8204
84	760	8186
85	767	8151
86	775	8140
87	782	8109
88	789	8081
89	795	8048
90	802	8015
91	809	7990
92	815	7957
93	822	7929
94	829	7899
95	835	7868
96	842	7843
97	848	7812
98	855	7784
99	862	7762
100	869	7736
101	875	7708
102	881	7677
103	888	7657
104	894	7628
105	901	7603
106	907	7576
107	913	7548
108	920	7528
109	926	7499
110	933	7474
111	940	7458
112	947	7433
113	954	7417
114	960	7391
115	967	7372
116	974	7356
117	982	7340
118	988	7321
119	996	7305
120	1003	7288
121	1010	7272
122	1018	7263
123	1026	7248
124	1034	7239
125	1041	7222
126	1048	7206
127	1055	7191
128	1062	7171
129	1069	7158
130	1075	7136
131	1082	7117
132	1088	7098
133	1095	7080
134	1102	7065
135	1109	7046
136	1117	7039
137	1124	7024
138	1133	7018
139	1139	6999
140	1146	6983
141	1153	6968
142	1159	6950
143	1167	6938
144	1174	6923
145	1181	6911
146	1188	6895
147	1194	6876
148	1201	6864
149	1208	6848
150	1217	6845
151	1226	6842
152	1233	6830
153	1241	6821
154	1249	6811
155	1256	6797
156	1263	6784
157	1269	6767
158	1276	6751
159	1284	6743
160	1291	6730
161	1299	6722
162	1306	6710
163	1315	6708
164	1324	6702
165	1333	6697
