100,12 St Sidewalk and landscape AFCU,The objective of this project includes Sidewalk and landscape improvements along 12th Street and America's First Credit Union,Street/Sidewalk Improvements,On Hold,0,TBD
101,12 Street W Access Streetscape (ALDOT),The objective of this project includes Streetscape improvements from Lomb Av to 3rd Ave W; by Rickwood Field,Street/Sidewalk Improvements,Construction,0.8,821600
102,12th St W @ 4th Ave W (Bush Hills) - Sidewalk Addition,"The objective of this project includes  a small sidewalk addition along 12th St W to connect 4th Ave to 3rd Ave, plans complete since 2015 neighborhood request",Street/Sidewalk Improvements,Bid & Award,0,"      Needs Funding  $120,000       "
103,12th St. S & 1st Ave. S Drainage Improvements,The objective of this project includes constructing 492 LF of storm sewer along 12th Street S between 1st Avenue South and Railroad and along south line of railroad to existing culvert. There are 2 (two) large scale mixed use developments being proposed on either side of project area. The storm water collected from these areas needs to be routed properly to downstream culvert. ,Street/Sidewalk Improvements,Design,0,TBD
104,1600 11th Ave South,The objective of this project includes drainage and asphalt repair due to a pipe failure.,Street/Sidewalk Improvements,Complete,1,20900
105,16th Street Connector Trail (ALDOT CMAQ-3715),"The objective of this project includes  the following improvements will be added along the 1.8 mile length of these trails: sidewalks, bicycle lances, crosswalk markings, landscaping, signage, and ADA ramps as part of the Red Rock Trails System. Shuttlesworth/Huntsville Road Connector: Street based trail system along 22nd street, 12th Avenue, 21st Street, 13th Avenue and F.L. Shuttlesworth Drive/ Huntsville Road, beginning at the 22nd Street and Richard Arrington, Jr. Blvd and terminating at Village Creek. ",Street/Sidewalk Improvements,Design,0.7,1425000
106,16th Street Corridor North,"The objective of this project includes streetscape improvements, Accessibility, Landscaping, adding a raised median. 17th Street North and 18th St N from 11th Ave North to I-65",Street/Sidewalk Improvements,Design,0.95,255077
107,19th street Ensley streetscape,"The objective of this project includes sidewalk installation and replacement and accessibility, landscaping, and curb and gutter on 19th Street Ensley from Pike Rd. to Ensley Ave. near Tuxedo Ct.",Street/Sidewalk Improvements,Design,0.9,868566
108,1st Ave North Sidewalk,The objective of this project sidewalk improvements at 1st Ave. North from 20th Street to 19th Street.,Street/Sidewalk Improvements,Closeout,100,49875
109,1st Ave North Streetscape  ,"The objective of this project includes streetscape improvements including sidewalks, accessibility, lighting, and landscaping along 1st Ave. North from 20th Street to 19th Street.",Street/Sidewalk Improvements,Design,0.9,1500000
110,2019 Pavement Patching Contract ,The objective of this project is to provide city-wide 12 month On-Call contract for asphalt and concrete street patching and repairs.,Street/Sidewalk Improvements,Design,0,750000
111,21st Street Viaduct Bridge Replacement,The objective of this project is to replace the 21st Street Viaduct with a new bridge structure. The project will be bided by ALDOT. ,Storm Sewer/Drainage/Bridges,Design,0.3,5000000
112,2724 16th Ave N Storm Improvements,The objective of this design is to replace the storm pipe and two inlets at the 2724 16th Ave. North.,Storm Sewer/Drainage/Bridges,Bid & Award,0,80000
113,2nd Ave Allley Drainage,The objective of this project includes alley drainage improvements on 2nd Ave S Pepperplace,Storm Sewer/Drainage/Bridges,Complete,1,46287
114,2nd Ave South Streetscape Tap 2015+CMAQ,"The objective of this project includes transportation improvements focusing on pedestrian accessibility along this corridor. Sidewalk, bike lane, landscaping, lighting, and drainage improvements are included. The project is along 2nd Ave. S from 24th St. S to 32nd St. S, and includes the block 29th St. S from 2nd to 3rd Ave. ",Street/Sidewalk Improvements,Design,0.6,1098000
115,31st Street & Warrior Road Drainage Improvements,The objective of this project is to improve the drainage structures along Warrior Road at 31st Street.,Storm Sewer/Drainage/Bridges,Construction,80%,96897.9
116,35th Street Bridge Painting,The objective of this project includes painting of girders of bridge at 35th St & 1st Av N,Storm Sewer/Drainage/Bridges,Design,10%,90000
117,36th Street Bridge Repair,The objective of this project includes the repair and realignment of the abutments and repair of damaged bridge girders and deck.,Storm Sewer/Drainage/Bridges,Bid & Award,0,615000
118,3816 1st Street W Drainage Improvements,The objective of this project is to mitigate poor drainage impacting this property by constructing approximately 420 feet of storm sewer between 2nd St West Alley and 1st Street West. The proposed improvements are consistent with the Hooper City Masterplan.,Storm Sewer/Drainage/Bridges,ROW,0.2,85000
119,3rd Ave West Streetscape Phase I,"The objective of this project is to provide ADA accessible sidewalks, lighting, street resurfacing and landscaping along 3rd Ave. West from Ave. S to Ave. W",Street/Sidewalk Improvements,Design,0.67,1600000
120,3rd St W at Finley Ave - Drainage Improvements,The objective of this project is to improve drainage and pavement improvements at the intersection of 3rd St W and Finley Ave (Nikis West),Storm Sewer/Drainage/Bridges,Design ,0.25,TBD
121,40th Street North Street Improvements,The objective of this project is to improve 40th Street North from Richard Arrington Jr. Blvd. to the ramps for I20/59. The plan is to improve the existing roadways and reconfigure lanes to assist with traffic flow.,Street/Sidewalk Improvements,On Hold,0.6,340200
122,41st Avondale Business district,"The objective of this project includes streetscape improvements to 41st St. S in the Forest Park South Avondale Business District from 1st Ave S to 5th Ave S. Street and drainage improvements include pedestrian accessibility, bicycle lanes, ADA upgrades, lighting, landscaping and green infrastructure for drainage.",Street/Sidewalk Improvements,Design,0.75,1300000
123,6th Ave Drainage,The objective of this project is to mitigate flooding beneath the railroad overpass along 6th Avenue South and the Autoplex intersection of 7th Avenue and 8th Street South. This will be accomplished by constructing approximately 4200 LF of storm sewers of various sizes and constructing 3 (three) detention ponds.,Storm Sewer/Drainage/Bridges,ROW,0.8,2000000
124,711 39TH St N Storm Drainage,The objective of this project is to provide storm drainage improvements at 711 39th St. N.,Storm Sewer/Drainage/Bridges,Construction,0,77797.5
125,7th Ave South Streetscape Tap 2016+CMAQ,The objective of this project includes streetscape improvements in Lakeview District.,Street/Sidewalk Improvements,Design,0.05,TBD
126,901 Bankhead Hwy Drainage Improvements,The objective of this project includes box culvert replacement at 901 Bankhead Highway.,Storm Sewer/Drainage/Bridges,Bid & Award,0,TBD
127,9th Ave N & 31st St N,The objective of this project is to provide repairs and improvements to existing drainage on 31st St N from 9th Ave N to 8th Ave N.,Storm Sewer/Drainage/Bridges,Bid & Award,75%,132071.94
128,Arlington House Dining Room Ceiling Structure,The objective of this project is to provide investigation of wooden ceiling structure to determine correction of sag.,Public Facilities,Predesign,0,TBD
129,Arlington House Kitchen Freezer Floor Repair,The objective of this project is to provide investigation of floor structure under existing cooler to correct deteriorated wood.,Public Facilities,Design,0.75,2750
130,Arlington House Kitchen Hood Replacement,The objective of this project includes replacement of existing kitchen hood with new code compliant fire suppression hood.,Public Facilities,Closeout,0.97,38245
131,ATRIP Resurfacing 9 Sites (2013),"The objective of this project is resurfacing of: MLK Jr Dr, Lomb Ave, 1st Ave N (2 locations), Lakeshore Pkwy, Five Mile Rd, Georgia Rd, Clairmont Ave, Messer Airport Hwy",Street/Sidewalk Improvements,Construction,0.9,3047985
132,Avenue F Bridge Replacement (Apple Study),The objective of this project is an APPLE study on the replacement of the Avenue F Bridge over Village Creek.,Storm Sewer/Drainage/Bridges,Study,1,60000
133,Avondale Villa Renovations,"The objective of this project is to provide roof upgrade, restrooms and kitchen",Parks,Closeout,0.95,225000
134,Ballfield Improvements Package-REBID,"The objective of this project is to provide upgrades at Hairston (lighting), Inglenook fencing and bleachers), and Wiggins (scoreboard and bleachers.)",Parks,Bid & Award,0,Needs Funding- TBD 
135,Belview Heights Gateway Improvements (40th Street),The objective of this design is to create an aesthetic gateway into the Belview Heights neighborhood. A neighborhood sign along with landscaping is part of the project.,Street/Sidewalk Improvements,ROW,0.7,380000
136,Bermco 33rd Street North,The objective of this design is to widen 33rd Street for truck traffic and to improve drainage along the road.,Storm Sewer/Drainage/Bridges,ROW,0.2,250000
137,Bessie Estell Park Playground Expansion,The objective of this project includes new Accessible Play Equipment and seating on new soft surface play area.,Parks,Complete,1,90000
138,Bike Share Wayfinding signs,The objective of this project includes the installation of wayfinding signs for the Central Business District and Southside.,Street/Sidewalk Improvements,Predesign,0.5,147334
139,Birmingham City Jail Control Room Flooring Replacement,The objective of this project includes replacement of worn tile flooring in control area.,Public Facilities,Design,0,TBD
140,Birmingham City Jail Kitchen Plumbing Renovations,"The objective of this project includes the repairmen of damaged under slab plumbing and replacement of flooring, lighting, and built in coolers.  Purchasing to provide bids for new kitchen equipment.",Public Facilities,Bid & Award,0.5,842500
141,Birmingham City Jail Padded Cells,The objective of this project includes the installation of one or more padded cells.,Public Facilities,Predesign,0,TBD
